"","Electorate","Religious_Affiliation","Religious_Fraction"
"1","Banks","Buddhism",0.0429187579425696
"2","Barton","Buddhism",0.051194677466011
"3","Bennelong","Buddhism",0.043427563510666
"4","Berowra","Buddhism",0.0272365229853379
"5","Blaxland","Buddhism",0.0820172475004867
"6","Bradfield","Buddhism",0.0315809179120776
"7","Calare","Buddhism",0.00601991345211968
"8","Chifley","Buddhism",0.0135008087638468
"9","Cook","Buddhism",0.0145043218132919
"10","Cowper","Buddhism",0.00935846498578342
"11","Cunningham","Buddhism",0.0139271463508817
"12","Dobell","Buddhism",0.00836648990374318
"13","Eden-Monaro","Buddhism",0.0084252907843722
"14","Farrer","Buddhism",0.00586656909379193
"15","Fowler","Buddhism",0.198106371966999
"16","Gilmore","Buddhism",0.00875455343135952
"17","Grayndler","Buddhism",0.0325590416886826
"18","Greenway","Buddhism",0.0207506453338978
"19","Hughes","Buddhism",0.0137293903208145
"20","Hume","Buddhism",0.00703650352157087
"21","Hunter","Buddhism",0.00677313196765224
"22","Kingsford Smith","Buddhism",0.0312985848681896
"23","Lindsay","Buddhism",0.0108270080707148
"24","Lyne","Buddhism",0.00679131152048392
"25","Macarthur","Buddhism",0.0224112284513354
"26","Mackellar","Buddhism",0.0148977545705961
"27","Macquarie","Buddhism",0.0100255233704989
"28","McMahon","Buddhism",0.0543173217939201
"29","Mitchell","Buddhism",0.0293713220679183
"30","New England","Buddhism",0.0058696103357028
"31","Newcastle","Buddhism",0.0122002249130423
"32","North Sydney","Buddhism",0.031202407042829
"33","Page","Buddhism",0.00945904328533628
"34","Parkes","Buddhism",0.00440270795804096
"35","Parramatta","Buddhism",0.0341884929154143
"36","Paterson","Buddhism",0.0067658737807934
"37","Reid","Buddhism",0.0493032694227089
"38","Richmond","Buddhism",0.0144722816241915
"39","Riverina","Buddhism",0.00435834729416598
"40","Robertson","Buddhism",0.0116279882322523
"41","Shortland","Buddhism",0.00809097327002672
"42","Sydney","Buddhism",0.0724144649092571
"43","Warringah","Buddhism",0.0152443783809466
"44","Watson","Buddhism",0.0501985057721131
"45","Wentworth","Buddhism",0.0132923144386053
"46","Werriwa","Buddhism",0.075186210205431
"47","Whitlam","Buddhism",0.00824139742579459
"48","Aston","Buddhism",0.041273949036157
"49","Ballarat","Buddhism",0.00771605937222866
"50","Batman","Buddhism",0.0284384184139685
"51","Bendigo","Buddhism",0.00957249503094442
"52","Bruce","Buddhism",0.0841851844775207
"53","Calwell","Buddhism",0.0271090528759537
"54","Casey","Buddhism",0.0103456004931146
"55","Chisholm","Buddhism",0.0592520965986146
"56","Corangamite","Buddhism",0.00801361791279298
"57","Corio","Buddhism",0.0101524874261243
"58","Deakin","Buddhism",0.0325686291877602
"59","Dunkley","Buddhism",0.00993298310573094
"60","Flinders","Buddhism",0.00800010423588581
"61","Gellibrand","Buddhism",0.0527210576766562
"62","Gippsland","Buddhism",0.00719414400872526
"63","Goldstein","Buddhism",0.0147398511112466
"64","Gorton","Buddhism",0.0557495942308878
"65","Higgins","Buddhism",0.0250418988969872
"66","Holt","Buddhism",0.0517501901292879
"67","Hotham","Buddhism",0.091722742956862
"68","Indi","Buddhism",0.00691239308618021
"69","Isaacs","Buddhism",0.0532920695349629
"70","Jagajaga","Buddhism",0.0150034323890135
"71","Kooyong","Buddhism",0.0337760232188667
"72","La Trobe","Buddhism",0.0263816774440162
"73","Lalor","Buddhism",0.0276059470900383
"74","Mallee","Buddhism",0.00893269452782267
"75","Maribyrnong","Buddhism",0.0825035903783868
"76","McEwen","Buddhism",0.0161591404591248
"77","McMillan","Buddhism",0.0101417575062153
"78","Melbourne","Buddhism",0.0589089758524974
"79","Melbourne Ports","Buddhism",0.0224394675760272
"80","Menzies","Buddhism",0.0356854618824299
"81","Murray","Buddhism",0.00657650344647304
"82","Scullin","Buddhism",0.0348641987068812
"83","Wannon","Buddhism",0.00537481685255509
"84","Wills","Buddhism",0.0207840895024433
"85","Blair","Buddhism",0.00819478118462887
"86","Bonner","Buddhism",0.0201622604186158
"87","Bowman","Buddhism",0.00889055166315217
"88","Brisbane","Buddhism",0.0195989895415106
"89","Capricornia","Buddhism",0.0071656050955414
"90","Dawson","Buddhism",0.00846378740091995
"91","Dickson","Buddhism",0.00811807108612542
"92","Fadden","Buddhism",0.0136792452830189
"93","Fairfax","Buddhism",0.011853019946176
"94","Fisher","Buddhism",0.0120143258707533
"95","Flynn","Buddhism",0.00781410784111957
"96","Forde","Buddhism",0.0139726226002489
"97","Griffith","Buddhism",0.0225568203449195
"98","Groom","Buddhism",0.00830948638372765
"99","Herbert","Buddhism",0.00837510468880861
"100","Hinkler","Buddhism",0.00858054136441898
"101","Kennedy","Buddhism",0.00675701764546894
"102","Leichhardt","Buddhism",0.0167912042815861
"103","Lilley","Buddhism",0.013728077232502
"104","Longman","Buddhism",0.00868650136368731
"105","Maranoa","Buddhism",0.00450872938244476
"106","McPherson","Buddhism",0.0155890250097308
"107","Moncrieff","Buddhism",0.0202757350653875
"108","Moreton","Buddhism",0.0435627028360673
"109","Oxley","Buddhism",0.0501874908092741
"110","Petrie","Buddhism",0.0110983168777715
"111","Rankin","Buddhism",0.0286097002846459
"112","Ryan","Buddhism",0.0179209393044049
"113","Wide Bay","Buddhism",0.0096878513234049
"114","Wright","Buddhism",0.00956295505538971
"115","Adelaide","Buddhism",0.0295089389508205
"116","Barker","Buddhism",0.00660860724271247
"117","Boothby","Buddhism",0.0125277709207603
"118","Grey","Buddhism",0.00550422919889079
"119","Hindmarsh","Buddhism",0.0159610692726275
"120","Kingston","Buddhism",0.00914081726478622
"121","Makin","Buddhism",0.0176640158380877
"122","Mayo","Buddhism",0.00902633809941083
"123","Port Adelaide","Buddhism",0.0560616890590359
"124","Sturt","Buddhism",0.0237590839612775
"125","Wakefield","Buddhism",0.0139169619289944
"126","Brand","Buddhism",0.0107357755546208
"127","Burt","Buddhism",0.0335756563160982
