"","Electorate","Response_Yes","Response_No","Response_Unclear","Response_None","Response_Total","State"
"1","Banks",37736,46343,247,20928,105254,"NSW"
"2","Barton",37153,47984,226,24008,109371,"NSW"
"3","Bennelong",42943,43215,244,19973,106375,"NSW"
"4","Berowra",48471,40369,212,16038,105090,"NSW"
"5","Blaxland",20406,57926,220,25883,104435,"NSW"
"6","Bradfield",53681,34927,202,17261,106071,"NSW"
"7","Calare",54091,35779,285,25342,115497,"NSW"
"8","Chifley",32871,46702,263,28180,108016,"NSW"
"9","Cook",47505,38804,229,18713,105251,"NSW"
"10","Cowper",57493,38317,315,25197,121322,"NSW"
"11","Cunningham",60906,31840,268,20607,113621,"NSW"
"12","Dobell",59475,30987,255,24275,114992,"NSW"
"13","Eden-Monaro",57223,30926,249,22139,110537,"NSW"
"14","Farrer",48432,39297,277,25669,113675,"NSW"
"15","Fowler",27847,48782,228,29251,106108,"NSW"
"16","Gilmore",59322,36386,303,23109,119120,"NSW"
"17","Grayndler",73208,18429,136,16074,107847,"NSW"
"18","Greenway",38016,43980,217,25253,107466,"NSW"
"19","Hughes",51337,36558,185,17038,105118,"NSW"
"20","Hume",51284,36271,213,23457,111225,"NSW"
"21","Hunter",59137,32723,251,25253,117364,"NSW"
"22","Kingsford Smith",56297,31510,225,22399,110431,"NSW"
"23","Lindsay",49071,38295,234,26955,114555,"NSW"
"24","Lyne",51416,41539,316,21426,114697,"NSW"
"25","Macarthur",43323,39907,228,27271,110729,"NSW"
"26","Mackellar",62350,29330,208,17500,109388,"NSW"
"27","Macquarie",56180,31778,235,18490,106683,"NSW"
"28","McMahon",29146,53967,242,23721,107076,"NSW"
"29","Mitchell",42112,43652,176,19436,105376,"NSW"
"30","Newcastle",71158,23999,232,19970,115359,"NSW"
"31","New England",44608,40324,256,25581,110769,"NSW"
"32","North Sydney",64813,25473,193,17538,108017,"NSW"
"33","Page",55943,37727,291,25645,119606,"NSW"
"34","Parkes",41408,37108,241,29777,108534,"NSW"
"35","Parramatta",29299,47038,197,25757,102291,"NSW"
"36","Paterson",60915,32059,279,24264,117517,"NSW"
"37","Reid",43567,39061,203,23786,106617,"NSW"
"38","Richmond",62591,29625,274,22719,115209,"NSW"
"39","Riverina",47333,39308,265,25632,112538,"NSW"
"40","Robertson",58689,30614,231,20431,109965,"NSW"
"41","Shortland",62455,29836,255,19675,112221,"NSW"
"42","Sydney",76144,14860,146,22093,113243,"NSW"
"43","Warringah",64999,21660,172,16630,103461,"NSW"
"44","Watson",24915,57160,205,24634,106914,"NSW"
"45","Wentworth",69279,16410,162,18121,103972,"NSW"
"46","Werriwa",30252,53174,269,29282,112977,"NSW"
"47","Whitlam",57562,34879,276,23064,115781,"NSW"
"48","Aston",48455,29730,234,17664,96083,"VIC"
"49","Ballarat",65613,27405,333,20923,114274,"VIC"
"50","Batman",66383,26906,287,17901,111477,"VIC"
"51","Bendigo",63412,28852,333,19360,111957,"VIC"
"52","Bruce",34644,39203,257,21261,95365,"VIC"
"53","Calwell",37839,49823,331,23588,111581,"VIC"
"54","Casey",59959,28144,316,16807,105226,"VIC"
"55","Chisholm",49448,30844,271,17188,97751,"VIC"
"56","Corangamite",69723,27708,326,17123,114880,"VIC"
"57","Corio",62658,29865,359,18255,111137,"VIC"
"58","Deakin",55464,28973,276,15389,100102,"VIC"
"59","Dunkley",62840,24471,285,19322,106918,"VIC"
"60","Flinders",68291,29275,336,21407,119309,"VIC"
"61","Gellibrand",62045,29065,278,19771,111159,"VIC"
"62","Gippsland",51196,33910,338,20370,105814,"VIC"
"63","Goldstein",69726,21663,238,14857,106484,"VIC"
"64","Gorton",49834,43587,347,27479,121247,"VIC"
"65","Higgins",70059,19375,180,16615,106229,"VIC"
"66","Holt",47147,45875,289,28260,121571,"VIC"
"67","Hotham",47986,32524,303,19732,100545,"VIC"
"68","Indi",54563,31925,324,18934,105746,"VIC"
"69","Isaacs",56645,30063,275,20692,107675,"VIC"
"70","Jagajaga",65098,23453,255,15363,104169,"VIC"
"71","Kooyong",63592,22729,231,14147,100699,"VIC"
"72","Lalor",57062,43429,345,30127,130963,"VIC"
"73","La Trobe",61807,29826,268,19002,110903,"VIC"
"74","Mallee",42495,35795,359,21207,99856,"VIC"
"75","Maribyrnong",53208,35658,360,23762,112988,"VIC"
"76","McEwen",73705,39007,377,26966,140055,"VIC"
"77","McMillan",61479,36500,372,22403,120754,"VIC"
"78","Melbourne",81287,15839,182,20154,117462,"VIC"
"79","Melbourne Ports",70589,15523,198,18745,105055,"VIC"
"80","Menzies",47137,35626,258,15745,98766,"VIC"
"81","Murray",48205,35452,357,21560,105574,"VIC"
